"kind","n","bins_count","time_alg2_s","time_alg4_s","q_base_groups","q_star_groups","utility_babble","utility_base","utility_star","kept_babble","kept_base","kept_star","bias_kind","bias_direction","low","high","jitter","seed","elapsed_s"
"babble",29961,1,0.0,0.0,1,1,7446.3194379547485,7446.3194379547485,7446.3194379547485,14921,14921,14921,"random_multilevel","down",0.15,0.85,0.0,123,0.0
"binned",29961,2,0.008683708001626655,0.040110332978656515,1,1,7446.3194379547485,7446.3194379547485,7446.3194379547485,14921,14921,14921,"random_multilevel","down",0.15,0.85,0.0,123,0.11397750000469387
"binned",29961,3,0.01366158400196582,0.039262708014575765,1,1,7446.3194379547485,7446.3194379547485,7446.3194379547485,14921,14921,14921,"random_multilevel","down",0.15,0.85,0.0,123,0.23104845799389295
"binned",29961,5,0.020239667006535456,0.04163033299846575,1,1,7446.3194379547485,7446.3194379547485,7446.3194379547485,14921,14921,14921,"random_multilevel","down",0.15,0.85,0.0,123,0.3608067500172183
"binned",29961,8,0.05038004100788385,0.0638971249863971,2,2,7446.3194379547485,9235.042954408915,9235.042954408915,14921,16829,16829,"random_multilevel","down",0.15,0.85,0.0,123,0.5402240419934969
"binned",29961,12,0.06841708402498625,0.09672724999836646,3,3,7446.3194379547485,9756.044956945447,9756.044956945447,14921,17439,17439,"random_multilevel","down",0.15,0.85,0.0,123,0.7717107500066049
"binned",29961,18,0.10603258301853202,0.14574291699682362,4,4,7446.3194379547485,9756.044956945447,9756.044956945447,14921,17439,17439,"random_multilevel","down",0.15,0.85,0.0,123,1.090468125010375
"binned",29961,27,0.1562826250155922,0.26764112498494796,6,6,7446.3194379547485,9964.663340230914,9964.663340230914,14921,17692,17692,"random_multilevel","down",0.15,0.85,0.0,123,1.581207125011133
"binned",29961,41,0.22813804101315327,0.4946982089895755,9,9,7446.3194379547485,10097.449903210696,10097.449903210696,14921,17856,17856,"random_multilevel","down",0.15,0.85,0.0,123,2.368125625012908
"binned",29961,62,0.34606983402045444,0.9953393749892712,13,13,7446.3194379547485,10074.087177090943,10074.087177090943,14921,17827,17827,"random_multilevel","down",0.15,0.85,0.0,123,3.7745141250197776
"binned",29961,93,0.49709799999254756,1.9179454169934615,19,19,7446.3194379547485,10074.087177090943,10074.087177090943,14921,17827,17827,"random_multilevel","down",0.15,0.85,0.0,123,6.253448958013905
"binned",29961,140,0.7617819999868516,4.091980958997738,28,28,7446.3194379547485,10066.826079700915,10066.826079700915,14921,17818,17818,"random_multilevel","down",0.15,0.85,0.0,123,11.163116542011267
"binned",29961,210,1.1003932500025257,8.777898917003768,42,42,7446.3194379547485,10099.059575462214,10099.059575462214,14921,17858,17858,"random_multilevel","down",0.15,0.85,0.0,123,21.097582957998384
"binned",29961,315,1.6435780000174418,22.830222041986417,63,63,7446.3194379547485,10121.571957813188,10121.571957813188,14921,17886,17886,"random_multilevel","down",0.15,0.85,0.0,123,45.632781332999
"binned",29961,473,2.5433368750091176,43.99811608399614,95,95,7446.3194379547485,10150.453340898428,10150.453340898428,14921,17922,17922,"random_multilevel","down",0.15,0.85,0.0,123,92.23408854199806
"binned",29961,710,3.751809083012631,99.06756283299183,142,142,7446.3194379547485,10148.850710900431,10148.850710900431,14921,17920,17920,"random_multilevel","down",0.15,0.85,0.0,123,195.11268712501624
"binned",29961,1065,5.728003791999072,222.48038354201708,213,213,7446.3194379547485,10156.061144115836,10156.061144115836,14921,17929,17929,"random_multilevel","down",0.15,0.85,0.0,123,423.37906525001745
"binned",29961,1598,11.209434416989097,529.4609508750145,320,320,7446.3194379547485,10164.86860022691,10164.86860022691,14921,17940,17940,"random_multilevel","down",0.15,0.85,0.0,123,964.1095039579959
