domain_size,time_alg1_ms,time_pipeline_ms
2,0.028333975933492184,0.09883299935609102
7,0.48937503015622497,2.0022920216433704
12,2.3066250141710043,16.486250038724393
17,6.151999987196177,62.76250001974404
22,13.17525003105402,171.26550001557916
27,23.988792032469064,378.7193339667283
32,38.83087501162663,736.3567500142381
37,59.7833750071004,1305.5272090132348
42,87.21450000302866,2172.976874979213
47,123.10379097471014,3451.4924590475857
52,168.70841599302366,5180.9254579711705
57,215.31350002624094,7424.338040989824
62,276.4319999841973,10153.508250019513
67,349.2400419781916,13849.786000035238
72,432.6147499959916,18474.644875037484
77,529.2667090543546,24252.497042005416
82,647.2348329843953,30926.6487910063
87,764.692707976792,39305.879541963805
92,916.1669590394013,49265.06391703151
97,1067.5978329963982,60931.69254204258
