"kind","n","bins_count","time_alg1_s","time_alg2_s","time_alg4_s","q_base_groups","q_star_groups","utility_babble","utility_base","utility_star","kept_babble","kept_base","kept_star","bias_kind","bias_direction","low","high","jitter","seed","elapsed_s"
"babble",12157,1,0.0,0.0,0.0,1,1,63959.923836157395,63959.923836157395,63959.923836157395,153211,153211,153211,"random_multilevel","down",0.15,0.85,0.0,123,0.0
"binned",12157,2,0.0013950419961474836,0.0021450839703902602,0.013610374997369945,1,1,63959.923836157395,63959.923836157395,63959.923836157395,153211,153211,153211,"random_multilevel","down",0.15,0.85,0.0,123,0.03838574996916577
"binned",12157,3,0.0018644999945536256,0.002769000013358891,0.030271666997577995,3,2,63959.923836157395,94136.26838295745,103719.67889455479,153211,118639,138411,"random_multilevel","down",0.15,0.85,0.0,123,0.10107270797016099
"binned",12157,5,0.0022553749731741846,0.00461804197402671,0.04347662505460903,4,2,63959.923836157395,87197.9927619673,114616.07089981875,153211,102878,181047,"random_multilevel","down",0.15,0.85,0.0,123,0.1716767079778947
"binned",12157,8,0.002445041958708316,0.00445487501565367,0.09993695799494162,7,3,63959.923836157395,94344.63793387057,109668.10388221718,153211,117995,158657,"random_multilevel","down",0.15,0.85,0.0,123,0.2986592079978436
"binned",12157,12,0.002585124981123954,0.007447624986525625,0.16809037496568635,9,3,63959.923836157395,94136.26838295745,110222.81263365674,153211,118639,185558,"random_multilevel","down",0.15,0.85,0.0,123,0.49835066602099687
"binned",12157,18,0.002666291024070233,0.007807874993886799,0.40051579201826826,15,5,63959.923836157395,94034.20069090294,112330.60832373724,153211,116922,170176,"random_multilevel","down",0.15,0.85,0.0,123,0.9302363329916261
"binned",12157,27,0.0027690419810824096,0.012144749984145164,0.7566520409891382,21,6,63959.923836157395,94312.14048363199,113616.09425892394,153211,118034,187195,"random_multilevel","down",0.15,0.85,0.0,123,1.7326020000036806
"binned",12157,41,0.0028799169813282788,0.01566591701703146,1.8077733750105835,33,9,63959.923836157395,94084.36247738097,114246.54400394767,153211,116984,182412,"random_multilevel","down",0.15,0.85,0.0,123,3.5805074580130167
"binned",12157,62,0.0028807499911636114,0.02199983299942687,3.71705891599413,49,13,63959.923836157395,94298.13916762611,113685.06431978915,153211,117647,181600,"random_multilevel","down",0.15,0.85,0.0,123,7.342250415997114
"binned",12157,93,0.0028856669669039547,0.0295034580049105,8.680162874981761,75,20,63959.923836157395,94059.95451554516,114028.22553051462,153211,116804,178140,"random_multilevel","down",0.15,0.85,0.0,123,16.08196170796873
"binned",12157,140,0.003010125015862286,0.043055124988313764,20.894414000038523,113,29,63959.923836157395,94133.86486264173,114616.07089981875,153211,116873,181047,"random_multilevel","down",0.15,0.85,0.0,123,37.044123207975645
"binned",12157,210,0.0032012920128181577,0.06603320798603818,45.888913583010435,169,43,63959.923836157395,94133.86486264173,114616.07089981875,153211,116873,181047,"random_multilevel","down",0.15,0.85,0.0,123,83.0230689580203
"binned",12157,315,0.0032953330082818866,0.09953162499004975,99.87137820897624,254,63,63959.923836157395,94126.64328014465,114625.19855239315,153211,116833,182125,"random_multilevel","down",0.15,0.85,0.0,123,183.0194405830116
"binned",12157,473,0.003709042037371546,0.15726508403895423,226.30367162497714,381,95,63959.923836157395,94125.19476887635,114773.89389702221,153211,116827,182003,"random_multilevel","down",0.15,0.85,0.0,123,409.5054868750158
